BuildingType,PrimaryPropertyType,YearBuilt,Neighborhood,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ENERGYSTARScore_imputer,SiteEUIWN(kBtu/sf),GHGEmissionsIntensity,CategorieEnergie,LPUT,SLPUT,ENERGYSTARScore
NonResidential,Mixed Use Property,2008,lake union,3,51218,124700,2.6666666666666665,235.6000061,3.64,Électricité & GazNaturel,Medium,Medium,
NonResidential,Other,1920,lake union,3,63782,106003,4.0,183.1999969,2.39,Électricité & GazNaturel,Medium,Medium,
NonResidential,Large Office,1971,lake union,11,0,124721,58.0,115.0,2.93,Électricité & GazNaturel,Medium,Medium,58.0
NonResidential,Small- and Mid-Sized Office,1970,lake union,7,0,94002,70.0,60.29999924,0.42,Électricité,Medium,Medium,70.0
NonResidential,Warehouse,1974,greater duwamish,1,0,93020,60.0,13.5,0.09,Électricité,Low,Low,60.0
NonResidential,Other,1946,downtown,1,0,23000,96.33333333333333,36.79999924,1.12,GazNaturel & Électricité,Medium,Medium,
NonResidential,Supermarket / Grocery Store,2002,southeast,1,0,61053,32.0,249.1999969,5.02,Électricité & GazNaturel,High,High,32.0
NonResidential,Small- and Mid-Sized Office,1904,downtown,5,0,78920,88.0,36.0,0.25,Électricité,Medium,Medium,88.0
NonResidential,Small- and Mid-Sized Office,1906,downtown,7,0,99440,64.0,75.0,1.35,Électricité,Medium,Medium,64.0
NonResidential,Small- and Mid-Sized Office,1907,downtown,6,0,73260,82.0,47.29999924,0.27,Électricité,Medium,Medium,82.0
NonResidential,Small- and Mid-Sized Office,1900,downtown,4,0,69817,87.0,39.20000076,1.1,Électricité & Vapeur,Medium,Medium,87.0
NonResidential,Small- and Mid-Sized Office,1900,downtown,4,0,84750,95.0,30.79999924,0.31,Électricité,Medium,Medium,
NonResidential,Small- and Mid-Sized Office,1900,downtown,6,13320,62176,74.33333333333333,62.09999847,0.33,Électricité,Medium,Medium,
NonResidential,Large Office,1900,downtown,4,0,164380,79.0,53.90000153,0.79,Électricité,Medium,Medium,79.0
NonResidential,Large Office,1907,downtown,7,0,160580,98.0,28.0,0.62,Électricité & GazNaturel,Medium,Medium,98.0
Nonresidential COS,Other,1906,downtown,3,0,67755,83.0,31.0,0.2,Électricité,Medium,Medium,
NonResidential,Mixed Use Property,1910,greater duwamish,3,0,56700,37.0,43.40000153,0.56,Électricité,Medium,Medium,37.0
NonResidential,Warehouse,1922,greater duwamish,1,0,82852,83.0,30.20000076,0.79,GazNaturel & Électricité,Low,Low,83.0
NonResidential,Other,1953,greater duwamish,2,0,76442,76.33333333333333,60.59999847,1.73,GazNaturel & Électricité,Medium,Medium,
NonResidential,Distribution Center,1962,greater duwamish,2,0,92792,56.0,35.09999847,0.8,Électricité & GazNaturel,Low,Low,56.0
NonResidential,Other,1941,greater duwamish,2,0,125519,95.0,15.69999981,0.12,Électricité,Medium,Medium,
NonResidential,Large Office,1900,greater duwamish,4,25800,103200,80.0,41.70000076,0.24,Électricité,Medium,Medium,80.0
NonResidential,Warehouse,1954,greater duwamish,1,0,78814,69.0,11.60000038,0.21,Électricité,Low,Low,69.0
NonResidential,Small- and Mid-Sized Office,1904,greater duwamish,4,0,58970,95.33333333333333,32.79999924,0.7,Électricité & GazNaturel,Medium,Medium,
NonResidential,Distribution Center,1910,greater duwamish,6,10800,64800,15.0,43.70000076,0.25,Électricité,Low,Low,15.0
NonResidential,Distribution Center,1907,greater duwamish,4,0,56270,79.33333333333333,18.79999924,0.13,Électricité,Low,Low,
NonResidential,Small- and Mid-Sized Office,1904,downtown,4,0,66842,31.0,103.5,2.07,Électricité & GazNaturel,Medium,Medium,31.0
NonResidential,Small- and Mid-Sized Office,1909,downtown,6,10800,64488,81.0,45.40000153,0.27,Électricité,Medium,Medium,81.0
NonResidential,Large Office,1904,downtown,7,0,184322,81.0,52.70000076,0.37,Électricité,Medium,Medium,81.0
NonResidential,Large Office,2009,downtown,7,0,287853,43.0,89.40000153,0.63,Électricité,Medium,Medium,43.0
NonResidential,Small- and Mid-Sized Office,1914,greater duwamish,2,0,64512,53.0,97.09999847,2.8,GazNaturel & Électricité,Medium,Medium,53.0
NonResidential,Mixed Use Property,2009,greater duwamish,6,111774,174226,34.0,362.6000061,1.56,Électricité,Medium,Medium,
NonResidential,Warehouse,1926,greater duwamish,7,0,144050,26.0,30.20000076,0.68,Électricité & GazNaturel,Low,Low,26.0
NonResidential,Small- and Mid-Sized Office,1930,greater duwamish,3,0,60592,16.0,84.59999847,0.78,Électricité,Medium,Medium,16.0
NonResidential,Large Office,1912,greater duwamish,6,0,1380959,79.0,50.09999847,0.59,Électricité,Medium,Medium,79.0
NonResidential,Retail Store,1993,greater duwamish,1,0,107930,57.0,70.5,0.93,Électricité,Medium,Medium,57.0
NonResidential,Warehouse,1926,greater duwamish,1,0,99084,83.0,18.60000038,0.5,GazNaturel & Électricité,Low,Low,83.0
NonResidential,Distribution Center,1953,delridge,1,0,72719,28.0,38.20000076,0.59,Électricité,Low,Low,28.0
NonResidential,Small- and Mid-Sized Office,1930,east,4,0,76624,91.0,41.29999924,0.44,Électricité,Medium,Medium,91.0
NonResidential,Small- and Mid-Sized Office,2001,northeast,6,36583,55123,2.0,150.3000031,0.65,Électricité,Medium,Medium,2.0
NonResidential,Medical Office,2008,lake union,5,39902,89191,6.0,210.0,3.7,Électricité & GazNaturel,Medium,Medium,6.0
NonResidential,Large Office,1991,delridge,5,16221,121885,41.0,70.40000153,0.42,Électricité,Medium,Medium,41.0
NonResidential,Retail Store,1973,greater duwamish,1,0,56572,66.0,44.90000153,1.19,Électricité & GazNaturel,Medium,Medium,66.0
NonResidential,Medical Office,2004,east,1,0,225982,53.0,103.6999969,3.06,Électricité & Vapeur,Medium,Medium,53.0
NonResidential,Mixed Use Property,2006,downtown,1,0,516407,31.0,78.90000153,1.42,Électricité,Medium,Medium,31.0
NonResidential,Large Office,2000,downtown,11,0,312512,55.333333333333336,82.40000153,0.59,Électricité,Medium,Medium,
NonResidential,Large Office,2005,downtown,42,0,1592914,97.0,45.5,0.3,Électricité,Medium,Medium,97.0
NonResidential,Small- and Mid-Sized Office,1926,downtown,6,0,97720,89.33333333333333,33.70000076,0.18,Électricité,Medium,Medium,
NonResidential,Medical Office,1985,east,10,206580,215923,46.0,87.40000153,0.45,Électricité,Medium,Medium,46.0
NonResidential,Medical Office,1987,central,7,0,94500,68.0,50.5,0.43,Électricité,Medium,Medium,68.0
NonResidential,Retail Store,2005,delridge,1,0,94713,79.0,53.0,1.0,Électricité,Medium,Medium,79.0
NonResidential,Medical Office,2008,east,9,101342,201560,58.0,73.5,0.43,Électricité,Medium,Medium,58.0
NonResidential,Medical Office,1973,east,19,156407,163504,50.0,90.69999695,1.12,Électricité,Medium,Medium,50.0
NonResidential,Large Office,1900,downtown,6,0,205521,94.0,58.90000153,1.37,Mixte,Medium,Medium,94.0
NonResidential,Small- and Mid-Sized Office,1900,downtown,6,0,56700,55.0,54.29999924,0.38,Électricité,Medium,Medium,55.0
NonResidential,Small- and Mid-Sized Office,1925,greater duwamish,4,0,72000,89.0,38.0,0.33,Électricité,Medium,Medium,89.0
NonResidential,Large Office,2000,magnolia / queen anne,4,94892,96254,93.0,49.5,0.19,Électricité,Medium,Medium,93.0
NonResidential,Other,2001,delridge,3,11527,57236,45.333333333333336,191.8999939,4.51,GazNaturel & Électricité,High,High,
NonResidential,Other,1994,southeast,1,0,102133,29.666666666666668,199.3000031,5.2,Électricité & GazNaturel,Medium,Medium,
NonResidential,Large Office,2008,downtown,14,0,362046,86.0,66.59999847,0.32,Électricité,Medium,Medium,86.0
NonResidential,Other,1994,magnolia / queen anne,2,0,81336,54.333333333333336,164.1999969,3.32,Électricité,High,High,
NonResidential,Large Office,2001,downtown,23,0,538933,90.0,44.59999847,0.21,Électricité,Medium,Medium,90.0
NonResidential,Other,1983,downtown,6,197130,78852,75.0,66.40000153,0.13,Électricité,Medium,Medium,
NonResidential,Small- and Mid-Sized Office,1982,magnolia / queen anne,5,0,98668,91.0,44.5,0.31,Électricité,Medium,Medium,91.0
NonResidential,Large Office,2007,greater duwamish,1,28381,130550,12.0,72.19999695,0.62,Électricité,Medium,Medium,12.0
NonResidential,Large Office,1978,magnolia / queen anne,1,0,105100,1.0,214.8000031,3.4,Électricité,Medium,Medium,1.0
NonResidential,Supermarket / Grocery Store,2008,magnolia / queen anne,1,0,57176,31.0,214.1000061,0.0,Mixte,High,High,31.0
NonResidential,Retail Store,1978,magnolia / queen anne,1,0,50660,51.0,58.40000153,1.2,Électricité & GazNaturel,Medium,Medium,51.0
NonResidential,Small- and Mid-Sized Office,1937,magnolia / queen anne,2,0,61929,59.0,60.70000076,0.9,Électricité & GazNaturel,Medium,Medium,59.0
NonResidential,Large Office,2000,magnolia / queen anne,4,55000,110111,1.0,231.3999939,1.08,Électricité,Medium,Medium,1.0
NonResidential,Small- and Mid-Sized Office,1925,downtown,3,0,20565,65.0,40.40000153,0.27,Électricité,Medium,Medium,65.0
NonResidential,Large Office,2000,magnolia / queen anne,5,55971,103966,63.0,73.80000305,0.34,Électricité,Medium,Medium,63.0
NonResidential,Large Office,2008,magnolia / queen anne,5,46763,137201,56.0,108.3000031,0.56,Électricité,Medium,Medium,56.0
NonResidential,Large Office,1986,magnolia / queen anne,5,78848,129362,95.0,52.70000076,0.56,Électricité & GazNaturel,Medium,Medium,95.0
NonResidential,Large Office,1986,downtown,7,80283,197203,63.0,65.90000153,0.32,Électricité,Medium,Medium,63.0
NonResidential,Large Office,1993,downtown,3,0,187130,77.0,54.59999847,0.37,Électricité,Medium,Medium,77.0
NonResidential,Large Office,2000,downtown,5,117867,133177,99.0,123.6999969,0.48,Électricité,Medium,Medium,99.0
NonResidential,Warehouse,1912,downtown,5,0,154330,81.0,14.80000019,0.06,Électricité,Low,Low,81.0
NonResidential,Large Office,1918,downtown,6,14690,93555,83.0,47.5,0.46,Électricité,Medium,Medium,
NonResidential,Large Office,1905,downtown,6,0,167860,70.0,53.90000153,0.28,Électricité,Medium,Medium,70.0
NonResidential,Large Office,1910,downtown,6,0,112560,86.0,54.59999847,0.87,Électricité,Medium,Medium,86.0
NonResidential,Retail Store,1910,downtown,6,0,86204,89.0,45.0,0.8,Électricité & GazNaturel,Medium,Medium,89.0
Nonresidential COS,Warehouse,1985,greater duwamish,2,0,145158,51.0,53.70000076,0.82,Électricité,Low,Low,51.0
NonResidential,Large Office,1951,greater duwamish,2,0,112896,66.0,95.90000153,1.39,Électricité,Medium,Medium,66.0
NonResidential,Distribution Center,1960,greater duwamish,1,0,110613,95.0,9.199999809,0.06,Électricité,Low,Low,95.0
NonResidential,Warehouse,1951,greater duwamish,4,0,149881,97.0,19.10000038,0.64,GazNaturel,Low,Low,97.0
NonResidential,Warehouse,1951,greater duwamish,3,0,98220,12.0,50.70000076,0.77,Électricité,Low,Low,12.0
NonResidential,Distribution Center,1970,greater duwamish,1,0,84420,55.0,35.40000153,0.24,Électricité,Low,Low,55.0
NonResidential,Distribution Center,1961,greater duwamish,1,0,73335,31.0,74.5,2.12,Électricité & GazNaturel,Low,Low,
NonResidential,Distribution Center,1928,greater duwamish,2,0,56876,55.666666666666664,35.40000153,0.85,Électricité & GazNaturel,Low,Low,
NonResidential,Warehouse,1931,greater duwamish,2,0,61200,16.0,86.40000153,2.92,GazNaturel & Électricité,Low,Low,16.0
NonResidential,Distribution Center,1987,greater duwamish,1,0,111908,87.0,15.30000019,0.31,Électricité & GazNaturel,Low,Low,87.0
NonResidential,Other,1986,greater duwamish,2,0,63644,33.333333333333336,113.4000015,2.65,Électricité & GazNaturel,Medium,Medium,
NonResidential,Mixed Use Property,1930,greater duwamish,2,18860,89893,43.666666666666664,34.20000076,0.23,Électricité,Low,Low,
NonResidential,Supermarket / Grocery Store,1970,northwest,1,35545,106345,91.0,103.0,2.07,Électricité,High,High,91.0
NonResidential,Small- and Mid-Sized Office,2001,ballard,4,21055,71037,5.0,68.69999695,0.36,Électricité,Medium,Medium,5.0
NonResidential,Warehouse,1974,magnolia / queen anne,3,0,56259,74.33333333333333,47.70000076,1.54,GazNaturel & Électricité,Low,Low,
NonResidential,Other,2006,northeast,6,0,143439,2.6666666666666665,215.1999969,4.95,Électricité & GazNaturel,Medium,Medium,
NonResidential,Large Office,2008,lake union,4,88855,113768,73.0,79.5,0.31,Électricité,Medium,Medium,73.0
NonResidential,Small- and Mid-Sized Office,2000,lake union,2,25800,51374,33.0,71.0,0.5,Électricité,Medium,Medium,33.0
NonResidential,Large Office,1998,magnolia / queen anne,5,0,110524,57.0,63.90000153,0.43,Électricité,Medium,Medium,57.0
NonResidential,Mixed Use Property,2008,lake union,5,103650,183574,39.666666666666664,141.6000061,1.09,Électricité,Medium,Medium,
NonResidential,Laboratory,1999,lake union,4,18382,97366,30.0,369.1000061,9.98,GazNaturel & Électricité,High,High,
NonResidential,Large Office,2000,magnolia / queen anne,7,84689,157186,88.0,53.5,0.28,Électricité,Medium,Medium,88.0
NonResidential,Large Office,1974,magnolia / queen anne,5,18720,84210,85.0,56.5,0.63,Électricité,Medium,Medium,85.0
NonResidential,Small- and Mid-Sized Office,1902,downtown,3,0,76893,34.666666666666664,115.6999969,3.38,Électricité & GazNaturel,Medium,Medium,
NonResidential,Large Office,1975,downtown,8,23630,126370,65.0,77.69999695,0.8,Électricité,Medium,Medium,65.0
NonResidential,Large Office,1953,downtown,7,0,274362,82.0,60.40000153,0.54,Électricité,Medium,Medium,82.0
NonResidential,Large Office,1983,downtown,15,116280,261722,85.0,67.5,0.65,Électricité,Medium,Medium,85.0
NonResidential,Large Office,1963,downtown,11,0,169020,83.0,68.69999695,2.05,Mixte,Medium,Medium,83.0
NonResidential,Other,1981,downtown,33,0,429405,98.0,639.7999878,4.48,Électricité,High,High,98.0
NonResidential,Large Office,1985,downtown,76,319400,1632820,86.0,55.09999847,0.45,Électricité,Medium,Medium,86.0
NonResidential,Large Office,1981,downtown,19,89778,293737,90.0,49.0,0.29,Électricité,Medium,Medium,90.0
NonResidential,Medical Office,1925,downtown,18,28870,335064,68.0,76.30000305,1.6,Électricité,Medium,Medium,68.0
NonResidential,Retail Store,1929,downtown,4,0,78920,80.0,105.1999969,1.39,Électricité,Medium,Medium,80.0
NonResidential,Large Office,1979,downtown,7,87160,43983,93.0,,0.83,Électricité,Medium,Medium,93.0
NonResidential,Other,1999,downtown,1,0,947987,44.0,62.09999847,0.34,Électricité,High,High,
NonResidential,Mixed Use Property,1908,east,4,0,55520,86.66666666666667,70.30000305,2.72,GazNaturel,Medium,Medium,
NonResidential,Large Office,1908,downtown,10,0,132998,97.0,29.20000076,1.01,Électricité & Vapeur,Medium,Medium,97.0
NonResidential,Retail Store,1940,downtown,3,0,83118,59.0,56.29999924,0.33,Électricité,Medium,Medium,59.0
NonResidential,Retail Store,1924,downtown,3,0,77555,39.0,106.0999985,0.7,Électricité,Medium,Medium,39.0
NonResidential,Small- and Mid-Sized Office,1909,downtown,6,0,51218,57.0,55.5,0.39,Électricité,Medium,Medium,57.0
NonResidential,Large Office,1970,downtown,29,0,489182,43.0,96.40000153,0.87,Électricité,Medium,Medium,43.0
NonResidential,Large Office,1929,downtown,27,13320,203251,62.0,91.90000153,2.95,Électricité & Vapeur,Medium,Medium,62.0
NonResidential,Large Office,1921,downtown,13,0,189175,13.0,115.8000031,0.7,Électricité,Medium,Medium,13.0
NonResidential,Large Office,1998,downtown,13,74481,219322,25.0,118.6999969,0.41,Électricité,Medium,Medium,25.0
NonResidential,Large Office,1910,downtown,7,0,122356,91.0,41.90000153,0.34,Électricité,Medium,Medium,91.0
NonResidential,Small- and Mid-Sized Office,1921,downtown,3,0,52298,89.0,40.59999847,0.26,Électricité,Medium,Medium,89.0
NonResidential,Large Office,1911,downtown,17,0,116640,75.0,73.59999847,1.45,Électricité,Medium,Medium,75.0
NonResidential,Large Office,1981,downtown,42,201121,1047934,95.0,39.59999847,0.21,Électricité,Medium,Medium,95.0
NonResidential,Medical Office,1988,east,5,99314,89025,15.0,104.9000015,0.47,Électricité,Medium,Medium,15.0
NonResidential,University,1916,central,2,0,60122,94.66666666666667,12.39999962,0.15,Électricité,Medium,Medium,
NonResidential,Small- and Mid-Sized Office,1910,downtown,6,13700,81300,83.0,50.5,0.33,Électricité,Medium,Medium,83.0
NonResidential,Large Office,1971,downtown,9,0,224857,79.0,78.80000305,1.74,Électricité,Medium,Medium,79.0
NonResidential,Large Office,1998,downtown,8,124788,321473,96.0,39.5,0.21,Électricité,Medium,Medium,96.0
NonResidential,Other,1939,greater duwamish,2,0,58492,94.0,31.60000038,0.88,GazNaturel & Électricité,Medium,Medium,
NonResidential,Small- and Mid-Sized Office,1907,greater duwamish,6,0,62370,30.0,72.69999695,0.49,Électricité,Medium,Medium,30.0
NonResidential,Warehouse,1960,greater duwamish,1,0,73296,83.0,34.79999924,1.0,GazNaturel & Électricité,Low,Low,83.0
Nonresidential COS,Other,1944,greater duwamish,4,0,99122,14.0,146.5,1.81,Électricité,Medium,Medium,
NonResidential,Other,1985,greater duwamish,1,0,66133,62.333333333333336,84.80000305,1.36,Électricité,Medium,Medium,
NonResidential,Warehouse,1952,greater duwamish,2,0,115668,74.0,33.59999847,0.96,GazNaturel & Électricité,Low,Low,
NonResidential,Other,1970,greater duwamish,1,0,141686,71.33333333333333,44.79999924,0.33,Électricité,Medium,Medium,
NonResidential,Small- and Mid-Sized Office,1950,greater duwamish,1,0,93610,95.0,65.0,1.63,Électricité & GazNaturel,Medium,Medium,95.0
NonResidential,Large Office,1973,greater duwamish,2,0,156188,67.0,50.59999847,0.39,Électricité,Medium,Medium,67.0
NonResidential,Warehouse,1966,greater duwamish,1,0,115620,11.0,34.29999924,0.12,Électricité,Low,Low,11.0
NonResidential,Large Office,1975,greater duwamish,5,0,238148,93.0,43.90000153,0.32,Électricité,Medium,Medium,93.0
NonResidential,Distribution Center,1969,greater duwamish,1,0,71718,100.0,2.099999905,0.01,Électricité,Low,Low,100.0
NonResidential,Warehouse,1969,greater duwamish,1,0,55450,31.0,87.30000305,2.37,GazNaturel & Électricité,Low,Low,31.0
NonResidential,Distribution Center,1979,greater duwamish,1,0,54880,32.0,54.79999924,1.63,GazNaturel & Électricité,Low,Low,32.0
NonResidential,Retail Store,1992,delridge,1,0,102500,81.0,77.69999695,1.55,Électricité & GazNaturel,Medium,Medium,81.0
NonResidential,Other,2002,northeast,6,272900,88498,70.66666666666667,111.4000015,0.33,Électricité,Medium,Medium,
NonResidential,Supermarket / Grocery Store,1963,greater duwamish,1,0,50785,57.0,277.2999878,3.85,Électricité & GazNaturel,High,High,57.0
NonResidential,Small- and Mid-Sized Office,1929,delridge,3,0,85126,1.0,467.0,1.95,Électricité,Medium,Medium,1.0
NonResidential,Other,2000,north,5,19820,283435,89.66666666666667,36.5,0.33,Électricité,Medium,Medium,
NonResidential,Distribution Center,1986,greater duwamish,1,0,411584,43.0,41.70000076,1.11,GazNaturel & Électricité,Low,Low,43.0
NonResidential,Mixed Use Property,1902,downtown,4,0,73320,67.66666666666667,23.0,0.4,Électricité & GazNaturel,Low,Low,
NonResidential,Large Office,2008,magnolia / queen anne,4,100176,142510,77.0,65.0,0.28,Électricité,Medium,Medium,77.0
NonResidential,Small- and Mid-Sized Office,1900,downtown,6,15840,79920,83.0,58.29999924,0.78,Électricité,Medium,Medium,83.0
NonResidential,Warehouse,1946,greater duwamish,1,0,179413,57.0,19.39999962,0.13,Électricité,Low,Low,57.0
NonResidential,Warehouse,1917,greater duwamish,1,0,65288,73.66666666666667,8.600000381,0.06,Électricité,Low,Low,
NonResidential,Warehouse,1966,delridge,1,0,170632,98.0,3.599999905,0.02,Électricité,Low,Low,98.0
NonResidential,Large Office,1994,magnolia / queen anne,10,0,381511,87.0,52.29999924,0.28,Électricité,Medium,Medium,87.0
NonResidential,Large Office,2009,downtown,17,138098,275166,91.0,46.09999847,0.23,Électricité,Medium,Medium,91.0
NonResidential,Mixed Use Property,2009,northeast,6,54300,68100,63.0,70.69999695,0.65,Électricité,Medium,Medium,63.0
NonResidential,Retail Store,1956,northeast,2,0,93803,77.0,59.90000153,1.18,Électricité,Medium,Medium,
NonResidential,Warehouse,1966,greater duwamish,2,0,123000,47.0,21.89999962,0.17,Électricité,Low,Low,47.0
NonResidential,Medical Office,2003,east,5,112980,162150,70.0,55.90000153,0.25,Électricité,Medium,Medium,70.0
NonResidential,Warehouse,1978,greater duwamish,1,0,60448,90.0,19.29999924,0.45,Électricité & GazNaturel,Low,Low,90.0
NonResidential,Hospital,1994,east,14,0,1765970,54.0,180.5,6.97,Électricité & Vapeur,High,High,54.0
NonResidential,Other,1928,magnolia / queen anne,4,0,62600,68.33333333333333,58.70000076,6.49,GazNaturel & Électricité,Medium,Medium,
NonResidential,Mixed Use Property,2004,east,4,21612,55800,68.0,60.09999847,0.27,Électricité,Medium,Medium,
NonResidential,Medical Office,1990,east,5,159157,130262,59.0,87.69999695,0.46,Électricité,Medium,Medium,59.0
NonResidential,Other,1987,north,5,0,90266,18.0,90.80000305,0.6,Électricité,Medium,Medium,18.0
NonResidential,Warehouse,2004,ballard,4,6458,80874,87.0,13.60000038,0.17,Électricité,Low,Low,87.0
NonResidential,Hotel,2003,east,6,50017,100528,28.0,138.8999939,3.01,GazNaturel & Électricité,Medium,Medium,28.0
NonResidential,Other,1999,magnolia / queen anne,5,0,141718,36.0,135.8000031,2.41,Électricité,Medium,Medium,
NonResidential,Hotel,2008,magnolia / queen anne,5,21273,90583,8.0,98.90000153,2.49,Électricité & GazNaturel,Medium,Medium,8.0
NonResidential,Warehouse,1988,east,4,0,132828,83.0,8.199999809,0.06,Électricité,Low,Low,83.0
NonResidential,Warehouse,1970,delridge,1,0,70400,1.0,200.6999969,4.03,Électricité,Low,Low,1.0
NonResidential,Retail Store,1995,northwest,1,0,101830,60.0,87.69999695,2.9,Électricité & GazNaturel,Medium,Medium,60.0
NonResidential,University,1974,central,4,0,114000,72.0,66.40000153,0.96,Électricité,Medium,Medium,
SPS-District K-12,Other,2002,greater duwamish,3,0,338063,89.33333333333333,61.70000076,0.77,Électricité,Medium,Medium,
NonResidential,Warehouse,1965,southwest,1,0,152365,88.0,6.900000095,0.09,Électricité,Low,Low,88.0
NonResidential,Medical Office,1910,central,6,0,320946,57.0,79.30000305,0.59,Électricité,Medium,Medium,57.0
NonResidential,Retail Store,1958,greater duwamish,1,0,74178,77.66666666666667,75.69999695,1.82,Électricité & GazNaturel,Medium,Medium,
NonResidential,Warehouse,1987,north,4,0,80360,96.0,9.399999619,0.2,Électricité & GazNaturel,Low,Low,96.0
NonResidential,Supermarket / Grocery Store,1996,east,3,0,119190,71.0,225.5,2.24,Électricité & GazNaturel,High,High,71.0
NonResidential,Other,2008,greater duwamish,2,0,51856,2.3333333333333335,37.29999924,0.26,Électricité,Low,Low,
NonResidential,Mixed Use Property,1921,greater duwamish,3,12586,53552,3.0,139.8000031,0.75,Électricité,Medium,Medium,3.0
NonResidential,Large Office,1960,northeast,3,48510,65434,1.0,273.2000122,1.13,Électricité,Medium,Medium,1.0
NonResidential,Low-Rise Multifamily,2000,lake union,3,36093,56986,32.0,23.0,0.28,Électricité,Medium,Medium,32.0
NonResidential,Worship Facility,1957,northeast,2,0,22220,90.0,40.09999847,1.43,GazNaturel,Low,Low,90.0
NonResidential,Mixed Use Property,1962,greater duwamish,1,0,44700,73.33333333333333,45.40000153,0.68,Électricité,Medium,Medium,
NonResidential,Warehouse,1976,greater duwamish,1,0,44100,1.0,42.29999924,0.26,Électricité,Low,Low,1.0
NonResidential,Distribution Center,1965,greater duwamish,1,0,27800,13.0,48.09999847,0.88,Électricité,Low,Low,13.0
NonResidential,Warehouse,2001,greater duwamish,1,0,46340,3.0,55.29999924,0.39,Électricité,Low,Low,3.0
Campus,Other,1994,greater duwamish,1,0,22800,53.666666666666664,116.6999969,4.45,GazNaturel,Medium,Medium,
NonResidential,Small- and Mid-Sized Office,1910,central,3,0,38460,69.0,53.70000076,0.94,Électricité,Medium,Medium,69.0
NonResidential,Worship Facility,1922,northwest,2,0,21022,54.0,51.29999924,2.09,GazNaturel,Low,Low,54.0
NonResidential,Distribution Center,1967,greater duwamish,1,0,48001,49.0,52.0,1.8,GazNaturel,Low,Low,49.0
NonResidential,Warehouse,1979,greater duwamish,1,0,26380,40.666666666666664,20.0,0.14,Électricité,Low,Low,
NonResidential,Warehouse,1969,greater duwamish,1,0,37351,10.0,72.40000153,2.06,GazNaturel & Électricité,Low,Low,10.0
NonResidential,Warehouse,1981,greater duwamish,1,0,30375,73.0,11.39999962,0.08,Électricité,Low,Low,73.0
NonResidential,Warehouse,1979,greater duwamish,1,0,30004,75.33333333333333,12.60000038,0.09,Électricité,Low,Low,
NonResidential,Other,1928,northeast,3,0,39971,48.333333333333336,283.1000061,10.41,GazNaturel & Électricité,Medium,Medium,
NonResidential,Worship Facility,1914,ballard,2,0,33589,90.0,18.10000038,0.65,GazNaturel,Low,Low,90.0
NonResidential,Small- and Mid-Sized Office,1979,ballard,3,0,43500,46.0,74.0,0.52,Électricité,Medium,Medium,46.0
NonResidential,Small- and Mid-Sized Office,1978,ballard,2,0,28492,12.0,70.19999695,1.33,Électricité,Medium,Medium,12.0
NonResidential,Small- and Mid-Sized Office,1963,ballard,3,0,22325,48.333333333333336,62.79999924,0.44,Électricité,Medium,Medium,
NonResidential,Restaurant,1977,ballard,3,0,22719,98.33333333333333,59.79999924,0.42,Électricité,High,High,
NonResidential,Laboratory,1946,downtown,2,22000,22588,35.0,105.0999985,1.13,Électricité,High,High,
NonResidential,Retail Store,1917,downtown,2,0,147545,69.0,49.70000076,1.15,Électricité & GazNaturel,Medium,Medium,69.0
Nonresidential COS,Other,1923,north,2,0,21462,60.666666666666664,46.5,0.36,Électricité,Medium,Medium,
NonResidential,Other,1917,northwest,2,0,28072,84.33333333333333,66.59999847,2.26,GazNaturel,Medium,Medium,
NonResidential,Restaurant,1955,downtown,2,0,31020,41.666666666666664,168.6999969,6.69,GazNaturel,High,High,
NonResidential,Small- and Mid-Sized Office,1917,downtown,2,0,21600,38.333333333333336,75.80000305,1.37,Électricité,Medium,Medium,
NonResidential,Small- and Mid-Sized Office,1974,downtown,5,13320,48505,59.0,112.5,2.28,GazNaturel & Électricité,Medium,Medium,59.0
NonResidential,Small- and Mid-Sized Office,1942,downtown,3,0,64630,96.0,21.79999924,0.15,Électricité,Medium,Medium,96.0
NonResidential,Worship Facility,1948,downtown,2,0,20920,15.0,57.79999924,2.02,GazNaturel,Low,Low,15.0
NonResidential,Worship Facility,1926,southwest,2,0,22128,94.0,32.90000153,1.14,GazNaturel,Low,Low,94.0
NonResidential,Retail Store,1968,northwest,1,0,48139,98.0,24.0,0.5,Électricité & GazNaturel,Medium,Medium,98.0
NonResidential,Worship Facility,1949,southwest,2,0,21364,86.0,52.0,2.05,GazNaturel,Low,Low,86.0
NonResidential,University,1992,downtown,2,0,28923,95.33333333333333,17.70000076,0.53,GazNaturel & Électricité,Medium,Medium,
NonResidential,University,1928,downtown,3,0,21600,64.66666666666667,16.60000038,0.29,Électricité,Medium,Medium,
NonResidential,Retail Store,1996,northeast,1,0,25735,82.0,48.5,0.7,Électricité,Medium,Medium,82.0
NonResidential,Retail Store,1956,northeast,2,0,25862,20.0,184.3000031,5.96,GazNaturel & Électricité,Medium,Medium,20.0
NonResidential,Retail Store,2003,northeast,2,0,49965,82.0,68.5,0.59,Électricité,Medium,Medium,82.0
NonResidential,Small- and Mid-Sized Office,1929,downtown,2,0,20028,95.0,27.5,0.71,Électricité,Medium,Medium,95.0
NonResidential,Small- and Mid-Sized Office,1900,downtown,7,0,23622,100.0,20.20000076,0.42,Électricité,Medium,Medium,100.0
