BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ENERGYSTARScore,SiteEUIWN(kBtu/sf),GHGEmissionsIntensity,CategorieEnergie,ZipCode,TaxParcelId,LargestPropertyUseType
NonResidential,Large Office,downtown,1958,10,0,135918,91.0,46.79999924,1.43,Électricité & Vapeur,98101.0,19757,Office
NonResidential,Retail Store,downtown,1914,4,0,79957,25.0,79.09999847,0.46,Électricité,98101.0,19757,Retail Store
NonResidential,Large Office,downtown,1983,29,0,500000,93.0,45.20000076,0.26,Électricité,98101.0,19757,Office
NonResidential,Large Office,downtown,1926,10,0,132326,72.0,53.70000076,0.49,Électricité,98101.0,19757,Office
NonResidential,Large Office,downtown,1984,6,13200,96630,45.0,87.90000153,0.47,Électricité,98101.0,19757,Office
NonResidential,Hotel,downtown,1973,19,59280,272787,6.0,114.4000015,4.42,Électricité & Vapeur,98101.0,19757,Hotel
NonResidential,Large Office,downtown,1910,10,0,130513,49.0,90.40000153,2.44,Électricité & GazNaturel,98101.0,19757,Office
NonResidential,Small- and Mid-Sized Office,downtown,1920,8,0,60660,,55.29999924,0.3,Électricité,98101.0,19757,Office
NonResidential,Large Office,downtown,1929,14,0,137350,89.0,54.79999924,1.48,Électricité & Vapeur,98101.0,19757,Office
NonResidential,Large Office,downtown,1929,15,0,151039,84.0,0.0,1.58,Vapeur & Électricité,98101.0,19757,Office
NonResidential,Large Office,downtown,1985,30,134662,620338,72.0,80.69999695,1.05,Électricité,98101.0,19757,Office
NonResidential,Small- and Mid-Sized Office,downtown,1906,4,0,63540,72.0,62.79999924,1.18,Électricité & GazNaturel,98101.0,19757,Office
NonResidential,Large Office,downtown,1927,10,0,130893,80.0,58.79999924,0.37,Électricité,98101.0,19757,Office
NonResidential,Mixed Use Property,downtown,1910,5,0,79920,,37.29999924,0.26,Électricité,98101.0,19757,Office
Campus,Mixed Use Property,downtown,1908,4,0,137400,,122.3000031,2.3,Électricité & GazNaturel,98101.0,19762,Retail Store
NonResidential,Other,downtown,1996,6,86429,61423,,157.5,1.25,Électricité,98101.0,19767,Parking
NonResidential,Other,downtown,1996,4,166960,100375,,75.80000305,0.55,Électricité,98101.0,19767,Parking
NonResidential,Large Office,downtown,1989,56,389860,1215718,97.0,37.90000153,0.33,Électricité,98101.0,19767,Office
NonResidential,Large Office,downtown,1980,36,0,794592,96.0,36.09999847,0.27,Électricité,98101.0,19767,Office
NonResidential,Large Office,downtown,1971,21,93204,363100,74.0,59.5,0.3,Électricité,98101.0,19767,Office
NonResidential,Large Office,downtown,1986,12,15140,100717,89.0,45.20000076,0.29,Électricité,98101.0,19772,Office
NonResidential,Small- and Mid-Sized Office,downtown,1999,4,17500,70000,72.0,63.40000153,0.36,Électricité,98121.0,19772,Office
NonResidential,Large Office,downtown,1998,11,184776,189629,72.0,69.09999847,0.25,Électricité,98121.0,19772,Office
NonResidential,Other,downtown,1985,12,38000,155500,,98.40000153,0.52,Électricité,98121.0,19772,Other
NonResidential,Large Office,downtown,1923,11,0,102846,96.0,59.70000076,2.74,Vapeur & Électricité,98101.0,19772,Office
NonResidential,Small- and Mid-Sized Office,downtown,1925,4,0,52800,83.0,48.20000076,0.84,Électricité,98121.0,19772,Office
Campus,Mixed Use Property,downtown,1913,10,0,258497,,80.09999847,1.62,Électricité,98101.0,19772,Parking
NonResidential,Retail Store,downtown,1929,8,0,861702,,19.89999962,0.38,Électricité,98181.0,19772,Retail Store
NonResidential,Other,east,1999,5,97400,109550,,92.30000305,1.2,Électricité,98101.0,19782,Other
NonResidential,Other,east,1988,9,0,46710,,95.09999847,2.8,Électricité & Vapeur,98101.0,19782,Urgent Care/Clinic/Other Outpatient
NonResidential,Medical Office,east,1945,3,104000,162000,65.0,86.5,0.76,Électricité,98101.0,19782,Medical Office
NonResidential,Medical Office,east,1992,14,407795,282363,58.0,78.19999695,0.21,Électricité,98104.0,19782,Medical Office
NonResidential,Mixed Use Property,lake union,2001,6,177660,200783,100.0,283.7000122,1.21,Électricité,98109.0,19912,Parking
NonResidential,Mixed Use Property,lake union,2001,6,104922,108912,100.0,707.2999878,2.48,Électricité,98109.0,19912,Parking
NonResidential,Hotel,lake union,1979,5,29409,79608,34.0,89.0,2.24,Électricité & GazNaturel,98109.0,19912,Hotel
NonResidential,Large Office,magnolia / queen anne,1981,5,38452,237282,77.0,71.69999695,0.41,Électricité,98119.0,19922,Office
NonResidential,Warehouse,greater duwamish,2001,1,0,123061,59.0,16.20000076,0.11,Électricité,98104.0,20240,Non-Refrigerated Warehouse
NonResidential,Distribution Center,greater duwamish,1963,1,0,59090,45.0,53.40000153,1.98,GazNaturel,98108.0,20240,Distribution Center
NonResidential,Warehouse,greater duwamish,1963,1,0,106000,93.0,7.199999809,0.05,Électricité,98108.0,20240,Non-Refrigerated Warehouse
NonResidential,Large Office,lake union,1962,3,38400,120200,19.0,126.6999969,1.49,Électricité,98102.0,21077,Office
NonResidential,Distribution Center,greater duwamish,1960,1,0,119661,97.0,6.5,0.05,Électricité,98108.0,21362,Distribution Center
NonResidential,Large Office,lake union,2001,7,44728,94472,81.0,52.90000153,0.22,Électricité,98109.0,21639,Office
NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,1984,6,33921,61800,95.0,33.0,0.22,Électricité,98119.0,22490,Office
NonResidential,Large Office,magnolia / queen anne,1996,5,115228,98055,83.0,53.59999847,0.19,Électricité,98109.0,22495,Office
NonResidential,Large Office,lake union,2001,3,47656,56041,7.0,184.6999969,3.62,GazNaturel & Électricité,98103.0,22645,Office
NonResidential,Small- and Mid-Sized Office,north,1974,5,0,74880,56.0,77.09999847,0.48,Électricité,98125.0,24349,Office
NonResidential,Small- and Mid-Sized Office,north,1979,6,0,88774,53.0,74.40000153,0.47,Électricité,98115.0,24349,Office
NonResidential,Large Office,north,1983,5,0,122250,93.0,43.5,0.32,Électricité,98115.0,24349,Office
NonResidential,Small- and Mid-Sized Office,north,1979,4,0,53730,20.0,88.30000305,0.62,Électricité,98115.0,24349,Office
NonResidential,Small- and Mid-Sized Office,delridge,1960,3,0,55593,55.0,79.40000153,1.68,Électricité & GazNaturel,98101.0,24446,Office
NonResidential,Large Office,lake union,1982,4,60960,73096,54.0,68.0,0.24,Électricité,98109.0,24674,Office
NonResidential,Retail Store,greater duwamish,2005,1,0,158415,25.0,147.0,2.87,Électricité,98199.0,26176,Retail Store
NonResidential,Large Office,lake union,1929,8,0,287819,,174.6000061,1.21,Électricité,98109.0,26931,Office
NonResidential,Other,east,1975,8,0,158738,,385.6000061,7.99,Électricité,98101.0,19792,Urgent Care/Clinic/Other Outpatient
NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,1985,4,28800,58195,81.0,51.90000153,0.24,Électricité,98109.0,19892,Office
NonResidential,Retail Store,ballard,1999,1,0,164437,62.0,107.6999969,1.98,Électricité,98107.0,19822,Retail Store
NonResidential,Large Office,lake union,2009,5,66234,118248,95.0,49.09999847,0.22,Électricité,98109.0,19832,Office
NonResidential,Laboratory,lake union,1928,3,0,55200,,218.6999969,4.89,Électricité & GazNaturel,98109.0,19832,Laboratory
NonResidential,Laboratory,lake union,2003,4,111793,129366,,197.1999969,3.52,Électricité & GazNaturel,98109.0,19832,Laboratory
NonResidential,Large Office,lake union,2004,6,52582,86700,96.0,37.29999924,0.16,Électricité,98109.0,19832,Office
NonResidential,Large Office,lake union,2009,5,98700,172371,96.0,43.0,0.23,Électricité,98109.0,19832,Office
NonResidential,Warehouse,lake union,1914,5,0,127800,56.0,22.0,0.23,Électricité,98109.0,19842,Non-Refrigerated Warehouse
NonResidential,Large Office,lake union,2002,5,206597,353919,71.0,81.59999847,1.13,Électricité & GazNaturel,98109.0,19842,Office
NonResidential,Large Office,lake union,2001,6,95000,131592,49.0,89.80000305,0.42,Électricité,98109.0,19842,Office
Campus,Other,lake union,1997,5,0,535947,,255.8000031,7.45,GazNaturel & Électricité,98109.0,19842,Other
NonResidential,Mixed Use Property,lake union,2003,5,50654,109046,,275.1000061,4.55,Électricité & GazNaturel,98109.0,19862,Other
NonResidential,Large Office,lake union,2006,4,73673,136143,97.0,51.0,0.58,Électricité,98109.0,19862,Office
NonResidential,Large Office,lake union,2006,6,109905,193198,97.0,40.90000153,0.23,Électricité,98109.0,19862,Office
NonResidential,Mixed Use Property,lake union,1954,3,0,67380,66.0,46.79999924,1.1,Électricité & GazNaturel,98109.0,19862,Non-Refrigerated Warehouse
NonResidential,Laboratory,lake union,1963,4,0,102235,,241.5,5.74,Électricité & GazNaturel,98109.0,19882,Laboratory
NonResidential,Mixed Use Property,lake union,2008,5,153684,282813,,180.1999969,2.34,Électricité & GazNaturel,98109.0,19882,Laboratory
NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,1974,5,20826,67236,80.0,55.0,0.27,Électricité,98119.0,19892,Office
NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,1972,5,20416,66762,69.0,57.59999847,0.29,Électricité,98119.0,19892,Office
NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,1970,5,20416,66762,86.0,55.5,0.28,Électricité,98119.0,19892,Office
NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,1971,5,21600,66400,75.0,0.0,0.28,Électricité,98119.0,19892,Office
NonResidential,Medical Office,northeast,1988,4,88405,108344,5.0,182.0,2.43,Électricité & GazNaturel,98105.0,11450,Medical Office
NonResidential,Medical Office,northeast,1994,4,95281,95995,21.0,87.69999695,0.41,Électricité,98105.0,11450,Medical Office
NonResidential,Self-Storage Facility,ballard,1946,2,0,111445,,51.0,1.47,Électricité & GazNaturel,98107.0,11750,
NonResidential,Warehouse,southwest,1997,4,0,98475,83.0,12.0,0.23,Électricité,98126.0,13240,Non-Refrigerated Warehouse
NonResidential,Hospital,lake union,2000,7,150455,201075,23.0,200.3000031,2.94,Électricité & GazNaturel,98109.0,13613,Hospital (General Medical & Surgical)
NonResidential,Supermarket / Grocery Store,north,1995,2,187878,121087,78.0,122.5999985,0.9,Électricité,98125.0,14536,Supermarket/Grocery Store
NonResidential,Supermarket / Grocery Store,greater duwamish,2008,1,0,63225,100.0,103.1999969,0.72,Électricité,98134.0,18240,Supermarket/Grocery Store
Nonresidential COS,Other,delridge,1955,1,0,113780,,35.29999924,1.07,GazNaturel & Électricité,98118.0,18240,Other - Services
NonResidential,Warehouse,greater duwamish,1999,1,0,243044,100.0,4.300000191,0.17,Électricité & GazNaturel,98134.0,18240,Non-Refrigerated Warehouse
NonResidential,Other,lake union,2001,3,156312,123940,,93.0,0.29,Électricité,98103.0,18250,Parking
NonResidential,Other,magnolia / queen anne,1952,3,12998,53464,,95.5,0.72,Électricité,98109.0,19250,Other
NonResidential,Retail Store,northwest,1997,1,0,131387,72.0,82.90000153,0.84,Électricité,98133.0,19260,Retail Store
NonResidential,Warehouse,northwest,1999,3,0,94400,38.0,11.89999962,0.11,Électricité,98133.0,19260,Non-Refrigerated Warehouse
NonResidential,Other,northwest,1964,1,0,111900,,81.09999847,2.02,Électricité & GazNaturel,98133.0,19260,Strip Mall
NonResidential,Supermarket / Grocery Store,northwest,1984,1,0,144776,56.0,95.5,1.64,Électricité,98133.0,19260,Wholesale Club/Supercenter
NonResidential,Retail Store,northwest,1967,1,0,114000,79.0,150.8999939,4.85,GazNaturel & Électricité,98133.0,19260,Retail Store
NonResidential,Supermarket / Grocery Store,northwest,1997,1,0,50083,78.0,177.8000031,3.17,Électricité,98133.0,19260,Supermarket/Grocery Store
NonResidential,Large Office,lake union,1988,3,28645,95426,73.0,51.70000076,0.28,Électricité,98103.0,19722,Office
NonResidential,Small- and Mid-Sized Office,lake union,2000,4,36528,53472,84.0,43.29999924,0.3,Électricité,98103.0,19722,Office
NonResidential,Small- and Mid-Sized Office,lake union,2001,3,33709,62332,70.0,87.0,0.39,Électricité,98103.0,19732,Office
NonResidential,Large Office,lake union,1999,3,114829,166128,96.0,68.69999695,0.34,Électricité,98103.0,19732,Office
NonResidential,Large Office,lake union,1999,4,103032,140302,89.0,62.20000076,0.35,Électricité,98103.0,19732,Office
NonResidential,Mixed Use Property,downtown,1991,6,0,154660,,212.3999939,10.5,Électricité & Vapeur,98101.0,19747,Other - Entertainment/Public Assembly
NonResidential,Large Office,greater duwamish,1982,5,121375,268920,95.0,31.60000038,0.14,Électricité,98108.0,27381,Office
NonResidential,Warehouse,greater duwamish,1967,2,0,90000,87.0,16.29999924,0.19,Électricité,98108.0,27381,Non-Refrigerated Warehouse
NonResidential,Retail Store,greater duwamish,1966,1,0,50200,,23.79999924,0.64,GazNaturel & Électricité,98108.0,27381,Retail Store
NonResidential,Small- and Mid-Sized Office,ballard,1925,6,6200,87833,,60.20000076,1.28,Électricité & GazNaturel,98107.0,27677,Office
NonResidential,Warehouse,ballard,1941,2,0,63240,100.0,4.300000191,0.13,GazNaturel & Électricité,98107.0,27677,Non-Refrigerated Warehouse
NonResidential,Other,ballard,2008,5,182454,140415,,134.8000031,1.28,Électricité & GazNaturel,98107.0,27683,Parking
NonResidential,Self-Storage Facility,magnolia / queen anne,1988,4,23400,106893,,3.599999905,0.02,Électricité,98119.0,27706,Self-Storage Facility
NonResidential,Warehouse,magnolia / queen anne,1997,4,0,106041,94.0,11.80000019,0.24,Électricité & GazNaturel,98119.0,27706,Non-Refrigerated Warehouse
NonResidential,Self-Storage Facility,magnolia / queen anne,1956,3,0,94470,,12.60000038,0.35,GazNaturel & Électricité,98119.0,27716,Self-Storage Facility
NonResidential,Large Office,downtown,2002,10,38186,143508,88.0,50.90000153,0.29,Électricité,98104.0,52478,Office
NonResidential,Warehouse,greater duwamish,1966,1,0,22780,33.0,17.60000038,0.12,Électricité,98108.0,53672,Non-Refrigerated Warehouse
NonResidential,Distribution Center,greater duwamish,1967,1,0,124472,62.0,51.0,1.91,GazNaturel,98168.0,53672,Distribution Center
NonResidential,Large Office,downtown,1970,22,98556,129000,95.0,39.29999924,0.26,Électricité,98104.0,9420,Office
NonResidential,Distribution Center,greater duwamish,1967,1,0,50065,72.0,35.09999847,0.85,Électricité & GazNaturel,98168.0,53672,Distribution Center
NonResidential,Distribution Center,greater duwamish,1969,1,0,57540,26.0,48.79999924,1.33,Électricité & GazNaturel,98108.0,53672,Distribution Center
NonResidential,Warehouse,greater duwamish,1966,1,0,85400,49.0,18.0,0.13,Électricité,98108.0,53672,Non-Refrigerated Warehouse
NonResidential,Warehouse,greater duwamish,1966,1,0,55700,63.0,9.5,0.06,Électricité,98108.0,53672,Non-Refrigerated Warehouse
NonResidential,Small- and Mid-Sized Office,greater duwamish,1964,1,0,53250,96.0,33.40000153,0.88,Électricité & GazNaturel,98108.0,53672,Office
NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,1987,6,28427,50245,98.0,28.20000076,0.36,Électricité,98109.0,54578,Office
NonResidential,Warehouse,northwest,1986,3,0,64660,89.0,5.199999809,0.1,Électricité,98133.0,56875,Non-Refrigerated Warehouse
NonResidential,Mixed Use Property,east,1927,2,19928,55916,,66.40000153,0.51,Électricité,98122.0,60035,Other
NonResidential,Distribution Center,greater duwamish,1968,1,0,161678,25.0,62.09999847,1.27,Électricité & GazNaturel,98134.0,61729,Distribution Center
NonResidential,Distribution Center,greater duwamish,1949,1,0,101101,1.0,211.1000061,1.51,Électricité,98134.0,61729,Distribution Center
NonResidential,Distribution Center,greater duwamish,1980,1,0,52613,80.0,20.70000076,0.61,GazNaturel & Électricité,98134.0,61729,Distribution Center
NonResidential,Other,greater duwamish,1940,1,0,56608,,92.30000305,1.31,Électricité,98134.0,61729,Other
NonResidential,Refrigerated Warehouse,greater duwamish,1953,1,0,104099,,167.3999939,1.37,Électricité,98134.0,61729,Refrigerated Warehouse
NonResidential,Supermarket / Grocery Store,northwest,2003,1,7450,50734,41.0,291.5,7.12,Électricité & GazNaturel,98103.0,64315,Supermarket/Grocery Store
NonResidential,Supermarket / Grocery Store,north,1980,1,0,58480,37.0,254.6000061,4.66,Électricité & GazNaturel,98155.0,66323,Supermarket/Grocery Store
NonResidential,Large Office,lake union,2005,6,124800,211900,95.0,42.20000076,0.16,Électricité,98109.0,68497,Office
NonResidential,Retail Store,lake union,1996,4,159994,104014,42.0,105.5999985,0.72,Électricité,98109.0,68497,Retail Store
NonResidential,Small- and Mid-Sized Office,central,1914,2,0,62220,32.0,87.80000305,0.62,Électricité,98144.0,71323,Office
NonResidential,Small- and Mid-Sized Office,greater duwamish,1970,1,0,65430,89.0,52.09999847,1.38,Électricité & GazNaturel,98144.0,71328,Office
NonResidential,Large Office,northeast,2006,3,42440,59850,26.0,73.0,0.48,Électricité,98105.0,71748,Office
NonResidential,Other,central,1926,3,0,80004,,163.3999939,1.07,Électricité,98122.0,72346,Other
NonResidential,Warehouse,greater duwamish,1991,2,0,323916,92.0,27.10000038,0.81,GazNaturel & Électricité,98108.0,73766,Non-Refrigerated Warehouse
NonResidential,Mixed Use Property,greater duwamish,1932,14,0,304052,66.0,70.30000305,0.81,Électricité,98144.0,28296,Office
NonResidential,Small- and Mid-Sized Office,lake union,1978,4,31210,54175,,92.5,0.4,Électricité,98102.0,29022,Office
NonResidential,Distribution Center,greater duwamish,1989,2,0,98024,94.0,21.60000038,0.43,Électricité & GazNaturel,98108.0,29240,Distribution Center
NonResidential,Mixed Use Property,lake union,1928,1,15000,50000,,91.90000153,0.98,Électricité & GazNaturel,98109.0,29250,Office
NonResidential,Large Office,lake union,1990,5,66620,77953,62.0,67.69999695,0.25,Électricité,98109.0,29250,Office
NonResidential,Retail Store,north,1950,2,0,302812,97.0,25.70000076,0.43,Électricité,98125.0,29260,Retail Store
NonResidential,Small- and Mid-Sized Office,northwest,1974,5,0,86400,53.0,118.5,3.4,GazNaturel & Électricité,98133.0,29260,Office
NonResidential,Other,north,1969,2,0,98539,,55.79999924,0.47,Électricité,98125.0,29260,Strip Mall
